#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2020-01-01 00:00:00+00:00 2020-01-03 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
JFK,2020-01-01 00:00,-73.7622,40.6386,M,M,M,210.00,7.00,M,29.65,M,10.00,M,BKN,OVC,M,M,6500.00,7500.00,M,M,M,M,M,M,M,M,M,M,KJFK 010000Z AUTO 21007KT 10SM BKN065 OVC075 06/04 A2964 RMK T00600040 MADISHF
JFK,2020-01-01 00:05,-73.7622,40.6386,M,M,M,220.00,8.00,M,29.65,M,10.00,M,BKN,OVC,M,M,6500.00,7500.00,M,M,M,M,M,M,M,M,M,M,KJFK 010005Z AUTO 22008KT 10SM BKN065 OVC075 06/04 A2964 RMK T00600040 MADISHF
JFK,2020-01-01 00:10,-73.7622,40.6386,M,M,M,210.00,8.00,M,29.65,M,10.00,M,BKN,OVC,M,M,6500.00,7500.00,M,M,M,M,M,M,M,M,M,M,KJFK 010010Z AUTO 21008KT 10SM BKN065 OVC075 06/04 A2964 RMK T00600040 MADISHF
JFK,2020-01-01 00:15,-73.7622,40.6386,M,M,M,210.00,7.00,M,29.64,M,10.00,M,OVC,M,M,M,7000.00,M,M,M,M,M,M,M,M,M,M,M,KJFK 010015Z AUTO 21007KT 10SM OVC070 06/04 A2963 RMK T00600040 MADISHF
JFK,2020-01-01 00:20,-73.7622,40.6386,M,M,M,210.00,8.00,M,29.64,M,10.00,M,OVC,M,M,M,6500.00,M,M,M,M,M,M,M,M,M,M,M,KJFK 010020Z AUTO 21008KT 10SM OVC065 06/04 A2963 RMK T00600040 MADISHF
JFK,2020-01-01 00:25,-73.7622,40.6386,M,M,M,210.00,7.00,M,29.64,M,10.00,M,OVC,M,M,M,6500.00,M,M,M,M,M,M,M,M,M,M,M,KJFK 010025Z AUTO 21007KT 10SM OVC065 06/04 A2963 RMK T00600040 MADISHF
JFK,2020-01-01 00:30,-73.7622,40.6386,M,M,M,210.00,8.00,M,29.64,M,10.00,M,OVC,M,M,M,6500.00,M,M,M,M,M,M,M,M,M,M,M,KJFK 010030Z AUTO 21008KT 10SM OVC065 06/04 A2963 RMK T00600040 MADISHF
JFK,2020-01-01 00:35,-73.7622,40.6386,M,M,M,210.00,8.00,M,29.64,M,10.00,M,OVC,M,M,M,6500.00,M,M,M,M,M,M,M,M,M,M,M,KJFK 010035Z AUTO 21008KT 10SM OVC065 06/04 A2963 RMK T00600040 MADISHF
JFK,2020-01-01 00:40,-73.7622,40.6386,M,M,M,210.00,9.00,M,29.64,M,10.00,M,OVC,M,M,M,6500.00,M,M,M,M,M,M,M,M,M,M,M,KJFK 010040Z AUTO 21009KT 10SM OVC065 06/04 A2963 RMK T00600040 MADISHF
JFK,2020-01-01 00:45,-73.7622,40.6386,M,M,M,210.00,9.00,M,29.64,M,10.00,M,OVC,M,M,M,6000.00,M,M,M,M,M,M,M,M,M,M,M,KJFK 010045Z AUTO 21009KT 10SM OVC060 06/04 A2963 RMK T00600040 MADISHF
JFK,2020-01-01 00:50,-73.7622,40.6386,M,M,M,210.00,9.00,M,29.64,M,10.00,M,OVC,M,M,M,6000.00,M,M,M,M,M,M,M,M,M,M,M,KJFK 010050Z AUTO 21009KT 10SM OVC060 06/04 A2963 RMK T00600040 MADISHF
JFK,2020-01-01 00:51,-73.7622,40.6386,43.00,39.00,85.66,210.00,9.00,0.00,29.64,1003.70,10.00,M,OVC,M,M,M,6000.00,M,M,M,M,M,M,M,M,M,M,37.19,KJFK 010051Z 21009KT 10SM OVC060 06/04 A2964 RMK AO2 CIG 050 W SLP037 T00610039 $
JFK,2020-01-01 00:55,-73.7622,40.6386,M,M,M,220.00,10.00,M,29.64,M,10.00,M,BKN,OVC,M,M,5500.00,7000.00,M,M,M,M,M,M,M,M,M,M,KJFK 010055Z AUTO 22010KT 10SM BKN055 OVC070 06/04 A2963 RMK T00600040 MADISHF
JFK,2020-01-01 01:00,-73.7622,40.6386,M,M,M,210.00,11.00,M,29.64,M,10.00,M,BKN,OVC,M,M,5000.00,6500.00,M,M,M,M,M,M,M,M,M,M,KJFK 010100Z AUTO 21011KT 10SM BKN050 OVC065 06/04 A2963 RMK T00600040 MADISHF
