#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2020-01-01 00:00:00+00:00 2020-01-03 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
LGA,2020-01-01 00:00,-73.8803,40.7794,M,M,M,210.00,5.00,M,29.63,M,10.00,M,BKN,OVC,M,M,6000.00,7000.00,M,M,M,M,M,M,M,M,M,M,KLGA 010000Z AUTO 21005KT 10SM BKN060 OVC070 07/02 A2962 RMK T00700020 MADISHF
LGA,2020-01-01 00:05,-73.8803,40.7794,M,M,M,210.00,5.00,M,29.63,M,10.00,M,OVC,M,M,M,6500.00,M,M,M,M,M,M,M,M,M,M,M,KLGA 010005Z AUTO 21005KT 10SM OVC065 07/02 A2962 RMK T00700020 MADISHF
LGA,2020-01-01 00:10,-73.8803,40.7794,M,M,M,210.00,5.00,M,29.62,M,10.00,M,OVC,M,M,M,6500.00,M,M,M,M,M,M,M,M,M,M,M,KLGA 010010Z AUTO 21005KT 10SM OVC065 07/02 A2962 RMK T00700020 MADISHF
LGA,2020-01-01 00:15,-73.8803,40.7794,M,M,M,210.00,5.00,M,29.62,M,10.00,M,OVC,M,M,M,6500.00,M,M,M,M,M,M,M,M,M,M,M,KLGA 010015Z AUTO 21005KT 10SM OVC065 07/02 A2962 RMK T00700020 MADISHF
LGA,2020-01-01 00:20,-73.8803,40.7794,M,M,M,210.00,4.00,M,29.62,M,10.00,M,OVC,M,M,M,6000.00,M,M,M,M,M,M,M,M,M,M,M,KLGA 010020Z AUTO 21004KT 10SM OVC060 07/02 A2962 RMK T00700020 MADISHF
LGA,2020-01-01 00:25,-73.8803,40.7794,M,M,M,210.00,5.00,M,29.62,M,10.00,M,OVC,M,M,M,6000.00,M,M,M,M,M,M,M,M,M,M,M,KLGA 010025Z AUTO 21005KT 10SM OVC060 07/02 A2962 RMK T00700020 MADISHF
LGA,2020-01-01 00:30,-73.8803,40.7794,M,M,M,210.00,7.00,M,29.62,M,10.00,M,FEW,OVC,M,M,4900.00,6000.00,M,M,M,M,M,M,M,M,M,M,KLGA 010030Z AUTO 21007KT 10SM FEW049 OVC060 07/02 A2962 RMK T00700020 MADISHF
LGA,2020-01-01 00:35,-73.8803,40.7794,M,M,M,220.00,7.00,M,29.62,M,10.00,M,OVC,M,M,M,5500.00,M,M,M,M,M,M,M,M,M,M,M,KLGA 010035Z AUTO 22007KT 10SM OVC055 07/02 A2962 RMK T00700020 MADISHF
LGA,2020-01-01 00:40,-73.8803,40.7794,M,M,M,210.00,8.00,M,29.62,M,10.00,M,BKN,OVC,M,M,5000.00,6000.00,M,M,M,M,M,M,M,M,M,M,KLGA 010040Z AUTO 21008KT 10SM BKN050 OVC060 07/02 A2962 RMK T00700020 MADISHF
LGA,2020-01-01 00:45,-73.8803,40.7794,M,M,M,210.00,8.00,M,29.62,M,10.00,M,BKN,OVC,M,M,5000.00,6000.00,M,M,M,M,M,M,M,M,M,M,KLGA 010045Z AUTO 21008KT 10SM BKN050 OVC060 07/02 A2962 RMK T00700020 MADISHF
LGA,2020-01-01 00:50,-73.8803,40.7794,M,M,M,210.00,9.00,M,29.62,M,10.00,M,BKN,OVC,M,M,5000.00,6000.00,M,M,M,M,M,M,M,M,M,M,KLGA 010050Z AUTO 21009KT 10SM BKN050 OVC060 07/02 A2962 RMK T00700020 MADISHF
LGA,2020-01-01 00:51,-73.8803,40.7794,45.00,35.10,68.05,210.00,9.00,0.00,29.62,1003.00,10.00,M,BKN,OVC,M,M,5000.00,6000.00,M,M,M,M,M,M,M,M,M,39.68,KLGA 010051Z 21009KT 10SM BKN050 OVC060 07/02 A2962 RMK AO2 SLP030 T00720017
LGA,2020-01-01 00:55,-73.8803,40.7794,M,M,M,200.00,8.00,M,29.62,M,10.00,M,BKN,OVC,M,M,5000.00,6500.00,M,M,M,M,M,M,M,M,M,M,KLGA 010055Z AUTO 20008KT 10SM BKN050 OVC065 07/02 A2962 RMK T00700020 MADISHF
LGA,2020-01-01 01:00,-73.8803,40.7794,M,M,M,210.00,9.00,M,29.62,M,10.00,M,SCT,OVC,M,M,5000.00,6500.00,M,M,M,M,M,M,M,M,M,M,KLGA 010100Z AUTO 21009KT 10SM SCT050 OVC065 07/02 A2962 RMK T00700020 MADISHF
LGA,2020-01-01 01:05,-73.8803,40.7794,M,M,M,210.00,9.00,M,29.62,M,10.00,M,SCT,OVC,M,M,5000.00,6500.00,M,M,M,M,M,M,M,M,M,M,KLGA 010105Z AUTO 21009KT 10SM SCT050 OVC065 07/02 A2962 RMK T00700020 MADISHF
LGA,2020-01-01 01:10,-73.8803,40.7794,M,M,M,210.00,9.00,M,29.62,M,10.00,M,SCT,OVC,M,M,4800.00,6000.00,M,M,M,M,M,M,M,M,M,M,KLGA 010110Z AUTO 21009KT 10SM SCT048 OVC060 07/02 A2962 RMK T00700020 MADISHF
LGA,2020-01-01 01:15,-73.8803,40.7794,M,M,M,230.00,8.00,M,29.62,M,10.00,M,SCT,BKN,OVC,M,4200.00,4900.00,6500.00,M,M,M,M,M,M,M,M,M,KLGA 010115Z AUTO 23008KT 10SM SCT042 BKN049 OVC065 07/02 A2962 RMK T00700020 MADISHF
LGA,2020-01-01 01:20,-73.8803,40.7794,M,M,M,230.00,14.00,M,29.62,M,8.00,M,FEW,BKN,OVC,M,3300.00,4100.00,7000.00,M,-RA,M,M,M,M,M,M,M,KLGA 010120Z AUTO 23014KT 8SM -RA FEW033 BKN041 OVC070 07/02 A2962 RMK T00700020 MADISHF
LGA,2020-01-01 01:25,-73.8803,40.7794,M,M,M,250.00,11.00,M,29.63,M,6.00,M,FEW,BKN,OVC,M,2900.00,4100.00,6500.00,M,RA,M,M,M,M,M,M,M,KLGA 010125Z AUTO 25011KT 6SM RA FEW029 BKN041 OVC065 07/02 A2962 RMK T00700020 MADISHF
LGA,2020-01-01 01:30,-73.8803,40.7794,M,M,M,240.00,11.00,0.01,29.63,M,7.00,M,FEW,BKN,OVC,M,2700.00,3399.00,5500.00,M,-RA,M,M,M,M,M,M,M,KLGA 010130Z AUTO 24011KT 7SM -RA FEW027 BKN033 OVC055 07/02 A2962 RMK P0000 T00700020 MADISHF
LGA,2020-01-01 01:35,-73.8803,40.7794,M,M,M,250.00,16.00,0.01,29.64,M,10.00,M,FEW,BKN,OVC,M,2900.00,3500.00,4600.00,M,-RA,M,M,M,M,M,M,M,KLGA 010135Z AUTO 25016KT 10SM -RA FEW029 BKN035 OVC046 07/02 A2963 RMK P0000 T00700020 MADISHF
LGA,2020-01-01 01:40,-73.8803,40.7794,M,M,M,260.00,16.00,0.01,29.64,M,10.00,M,FEW,SCT,OVC,M,2700.00,3300.00,4900.00,M,-RA,M,M,M,M,M,M,M,KLGA 010140Z AUTO 26016KT 10SM -RA FEW027 SCT033 OVC049 07/02 A2963 RMK P0000 T00700020 CIG 042 R22 SW  MADISHF
