#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2020-01-01 00:00:00+00:00 2020-01-03 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
NYC,2020-01-01 00:51,-73.9693,40.7790,44.10,36.00,72.99,200.00,7.00,0.00,29.64,1002.80,10.00,M,BKN,OVC,M,M,4900.00,6000.00,M,M,M,M,M,M,M,M,M,39.53,KNYC 010051Z AUTO 20007KT 10SM BKN049 OVC060 07/02 A2964 RMK AO2 SLP028 T00670022 $
NYC,2020-01-01 01:51,-73.9693,40.7790,43.00,35.10,73.45,280.00,12.00,0.02,29.66,1003.50,9.00,20.00,SCT,BKN,OVC,M,2400.00,3100.00,4600.00,M,-RA,M,M,M,M,M,M,36.00,KNYC 010151Z AUTO 28012G20KT 260V320 9SM -RA SCT024 BKN031 OVC046 06/02 A2966 RMK AO2 RAB07 SLP035 P0002 T00610017 $
NYC,2020-01-01 02:51,-73.9693,40.7790,43.00,33.10,67.82,280.00,7.00,0.0001,29.65,1003.30,10.00,M,OVC,M,M,M,5500.00,M,M,M,-RA,M,M,M,M,M,M,38.19,KNYC 010251Z AUTO 28007KT 10SM -RA OVC055 06/01 A2965 RMK AO2 RAE12B47 SLP033 P0000 60002 T00610006 53 001 $
NYC,2020-01-01 03:51,-73.9693,40.7790,42.10,30.00,61.94,270.00,7.00,0.0001,29.65,1003.40,10.00,15.00,BKN,BKN,OVC,M,6500.00,8000.00,9500.00,M,M,M,M,M,M,M,M,37.09,KNYC 010351Z AUTO 27007G15KT 10SM BKN065 BKN080 OVC095 06/M01 A2965 RMK AO2 RAE00 SLP034 P0000 T00561011 $
NYC,2020-01-01 04:51,-73.9693,40.7790,41.00,28.00,59.55,270.00,9.00,0.00,29.66,1003.50,10.00,17.00,OVC,M,M,M,6000.00,M,M,M,M,M,M,M,M,M,M,34.70,KNYC 010451Z AUTO 27009G17KT 240V310 10SM OVC060 05/M02 A2966 RMK AO2 SLP035 T00501022 400720022 $
NYC,2020-01-01 05:51,-73.9693,40.7790,39.90,26.10,57.47,270.00,7.00,0.00,29.66,1003.70,10.00,M,BKN,OVC,M,M,8000.00,10000.00,M,M,M,M,M,M,M,M,M,34.41,KNYC 010551Z AUTO 27007KT 210V290 10SM BKN080 OVC100 04/M03 A2966 RMK AO2 SLP037 60002 T00441033 10072 20044 53004 $
NYC,2020-01-01 06:51,-73.9693,40.7790,39.00,27.00,61.78,280.00,7.00,0.00,29.67,1004.00,10.00,15.00,BKN,OVC,M,M,7000.00,10000.00,M,M,M,M,M,M,M,M,M,33.31,KNYC 010651Z AUTO 28007G15KT 10SM BKN070 OVC100 04/M03 A2967 RMK AO2 SLP040 T00391028 $
NYC,2020-01-01 07:51,-73.9693,40.7790,39.00,26.10,59.52,260.00,12.00,0.00,29.68,1004.30,10.00,20.00,FEW,OVC,M,M,7000.00,9000.00,M,M,M,M,M,M,M,M,M,30.91,KNYC 010751Z AUTO 26012G20KT 10SM FEW070 OVC090 04/M03 A2968 RMK AO2 SLP043 T00391033 $
NYC,2020-01-01 08:51,-73.9693,40.7790,39.00,24.10,54.77,250.00,10.00,0.00,29.70,1004.80,10.00,20.00,OVC,M,M,M,7500.00,M,M,M,M,M,M,M,M,M,M,31.75,KNYC 010851Z AUTO 25010G20KT 10SM OVC075 04/M04 A2970 RMK AO2 SLP048 T00391044 53010 $
NYC,2020-01-01 09:51,-73.9693,40.7790,37.90,23.00,54.60,M,5.00,0.00,29.70,1004.80,10.00,17.00,OVC,M,M,M,6500.00,M,M,M,M,M,M,M,M,M,M,33.40,KNYC 010951Z AUTO VRB05G17KT 10SM OVC065 03/M05 A2970 RMK AO2 SLP048 T00331050 $
